HKL	Counts
1 5 1	500
1 1 3	500
5 1 3	500
7 3 3	500
1 7 3	500
3 3 3	499
3 7 3	496
3 1 3	471
2 0 0	450
7 1 3	423
1 3 3	398
1 3 1	367
5 5 3	347
0 2 0	331
1 1 1	276
2 2 0	274
6 2 2	274
1 5 3	262
5 3 9	256
3 1 1	249
0 2 2	249
2 6 2	249
5 3 3	249
4 0 8	249
3 5 9	249
4 0 2	248
2 2 2	248
0 2 6	248
1 1 11	248
2 0 12	248
3 1 15	248
1 7 1	247
2 0 2	247
0 4 2	247
3 1 5	247
2 0 6	247
1 1 15	247
0 2 16	247
2 4 0	246
3 3 1	246
4 4 2	246
3 5 3	246
1 1 5	246
1 3 5	246
3 3 5	246
1 3 9	246
1 3 15	246
0 0 2	245
0 2 12	245
2 0 16	245
0 6 16	245
0 2 4	244
5 3 5	244
2 4 6	244
2 2 8	244
3 3 9	244
2 0 4	243
2 4 4	243
3 1 9	243
5 1 9	243
5 3 1	242
1 5 5	242
3 3 15	242
4 2 6	241
4 2 12	241
0 4 0	240
3 5 1	240
1 5 9	237
2 4 12	237
4 2 4	236
0 2 22	236
4 2 0	235
5 1 5	233
6 0 0	232
0 6 6	227
4 4 8	227
9 1 1	226
0 4 8	223
5 1 1	221
0 0 6	218
1 3 11	217
3 7 1	209
0 0 8	209
6 2 8	206
0 2 10	206
0 6 12	205
6 0 4	204
6 0 12	199
7 3 1	197
2 4 2	196
0 6 14	195
0 6 0	182
6 0 6	158
2 0 10	141
4 4 4	114
4 0 0	94
0 4 4	87
4 0 4	78
0 0 4	67
2 2 6	67
2 6 4	66
6 2 4	64
0 6 18	60
5 5 1	58
0 2 18	55
4 2 10	44
2 4 14	44
1 3 7	41
2 2 4	40
0 6 4	40
2 6 10	39
0 4 10	37
0 2 14	36
6 0 2	35
2 4 8	35
3 3 13	35
7 1 7	34
2 4 10	34
6 0 10	32
5 1 13	32
0 0 14	32
5 5 7	31
4 2 8	31
4 0 10	31
3 1 11	31
7 1 1	30
1 7 7	30
1 1 13	29
4 6 0	28
0 0 10	28
3 1 13	28
2 6 0	27
3 1 7	27
4 4 10	27
6 2 0	26
7 1 5	26
1 7 5	26
0 4 6	26
1 1 7	26
3 3 7	26
5 3 7	26
0 6 8	26
1 5 13	26
0 4 14	26
4 4 6	25
2 0 8	25
6 0 8	25
0 6 10	25
2 2 12	25
1 3 13	25
0 2 20	25
6 4 6	24
1 5 7	24
3 5 11	24
0 0 12	24
2 0 14	24
4 0 14	24
0 4 16	24
0 0 18	24
6 4 0	23
6 4 4	23
5 1 7	23
3 3 11	23
2 2 14	23
4 2 14	23
2 2 10	22
6 2 10	22
4 4 12	22
1 1 17	22
0 0 20	22
4 4 0	21
4 2 2	21
0 6 2	21
4 6 6	21
0 2 8	21
5 1 11	21
4 0 12	21
0 0 16	21
6 4 2	20
4 6 2	20
3 7 5	20
5 3 11	20
3 5 5	19
5 5 5	19
3 5 7	19
2 2 16	19
7 3 5	18
4 0 6	18
6 2 6	18
2 6 6	18
1 5 11	18
0 4 20	18
4 6 4	17
2 6 8	17
1 1 9	16
0 4 12	16
0 0 22	16
0 4 18	15
0.8302 0 0	0
