HKL	Counts
6 0 0	499
0 6 12	499
3 1 9	498
3 3 15	498
6 4 0	497
2 4 10	496
0 2 20	493
0 4 20	487
5 1 9	472
4 2 2	470
5 1 7	450
9 1 1	447
0 0 20	446
1 5 9	439
4 2 8	436
0 2 18	430
0 4 16	424
2 0 8	394
0 0 18	388
0 0 22	388
2 2 16	370
5 5 7	362
1 5 13	352
4 6 6	339
5 3 7	337
3 1 7	336
0 2 8	336
3 3 13	329
2 4 8	321
1 5 7	320
2 0 10	289
1 3 1	278
3 5 9	271
4 6 0	238
3 5 1	195
4 2 14	183
6 0 2	181
5 3 1	179
6 0 8	178
1 3 15	178
2 0 14	177
5 5 1	176
3 7 1	175
0 6 0	172
0 6 14	172
0 6 18	172
0 6 2	171
1 5 1	163
2 4 6	142
6 4 6	142
4 2 10	140
0 6 8	139
1 1 15	137
4 2 0	127
2 0 2	127
1 3 9	127
2 6 10	125
6 0 12	120
2 4 14	108
5 1 13	107
4 6 2	106
0 2 12	102
1 3 7	98
2 4 2	96
1 7 1	95
6 2 10	95
0 0 16	95
7 1 1	93
4 2 12	93
0 2 2	92
1 1 13	89
0 2 14	82
5 3 9	81
0 6 16	81
3 3 7	80
2 0 12	80
3 1 15	79
5 5 5	78
3 1 13	76
1 1 9	74
2 4 12	74
1 1 3	68
2 2 10	68
2 4 0	67
6 0 10	67
3 7 5	61
3 5 7	61
0 2 16	61
4 0 10	59
7 3 1	58
6 4 2	57
3 3 1	55
6 0 6	55
3 7 3	54
0 2 10	54
0 4 10	54
2 0 16	52
0 4 18	52
0 0 10	50
2 6 4	49
3 1 1	44
1 3 13	44
4 0 12	43
1 7 7	41
0 4 12	41
6 4 4	40
4 2 6	40
1 7 5	39
0 6 10	39
5 1 3	38
6 0 4	38
1 1 1	37
7 3 5	34
7 1 3	33
4 4 12	33
3 3 9	31
4 4 10	31
3 1 3	30
5 3 3	29
0 6 4	29
5 1 1	28
1 7 3	28
7 3 3	26
0 0 4	26
0 2 6	26
6 2 2	25
2 2 4	25
5 1 5	25
0 6 6	25
2 2 12	25
3 3 3	24
4 0 4	23
4 0 2	22
2 4 4	22
4 0 6	22
2 2 8	22
0 2 22	22
2 2 2	21
0 4 14	21
2 0 0	20
1 5 3	20
3 5 5	20
2 6 6	20
2 6 2	19
6 2 4	19
4 4 8	19
0 2 0	18
0 4 2	18
3 5 3	18
1 3 11	18
2 2 14	18
1 3 3	17
5 5 3	17
1 1 5	17
3 1 5	17
3 3 5	17
5 3 5	17
2 2 6	17
7 1 7	17
3 3 11	17
1 1 17	17
2 6 0	16
0 2 4	16
7 1 5	16
6 2 8	16
0 4 8	16
1 1 11	16
5 1 11	16
3 5 11	16
0 0 12	16
0 0 14	16
0 4 0	15
2 0 4	15
4 2 4	15
2 0 6	15
0 0 8	15
4 0 8	15
2 6 8	15
5 3 11	15
2 2 0	14
0 4 4	14
1 3 5	14
0 0 6	14
6 2 6	14
1 1 7	14
4 4 2	13
4 4 6	13
4 0 0	12
0 0 2	12
6 2 0	11
0 4 6	11
3 1 11	11
1 5 11	11
4 0 14	11
4 4 0	10
1 5 5	10
4 4 4	9
4 6 4	9
0.8302 0 0	0
