HKL	Counts
6 4 0	496
3 3 7	493
5 3 7	491
4 6 0	488
1 5 7	487
0 2 14	487
2 0 14	478
0 6 8	475
6 0 2	470
1 3 7	470
4 6 2	454
0 6 2	451
1 7 7	429
4 2 8	428
5 1 7	425
1 1 7	423
2 0 16	423
6 0 0	421
6 4 2	419
1 5 13	418
3 1 13	417
0 2 16	414
7 1 7	399
6 0 6	390
2 4 6	385
1 3 13	379
0 2 20	376
4 2 14	375
2 4 14	375
6 4 6	373
0 6 16	373
3 1 15	369
3 5 7	361
2 4 8	359
1 3 15	356
3 1 9	355
5 5 1	348
0 6 6	346
3 1 7	340
1 1 15	338
1 1 13	337
2 0 8	336
6 0 8	333
0 6 10	328
2 4 10	326
4 2 10	318
0 6 14	318
6 0 12	312
5 1 13	305
3 5 9	302
9 1 1	297
5 1 9	296
1 1 9	291
4 6 6	284
2 0 12	284
7 1 1	283
0 0 20	283
6 0 10	278
2 2 10	273
0 6 0	272
3 3 9	271
0 2 8	268
5 3 9	265
3 3 15	263
0 4 16	263
0 2 18	258
0 4 20	255
4 2 12	232
3 3 13	230
0 2 12	222
7 3 1	213
1 5 9	213
4 2 6	208
4 4 10	201
1 7 1	197
5 1 1	196
0 0 18	188
1 3 9	183
6 2 10	175
4 2 2	162
4 0 10	159
5 5 7	155
1 5 1	150
0 0 16	138
2 4 2	137
3 7 1	119
2 4 0	117
3 7 5	113
2 2 16	113
6 0 4	106
0 2 10	106
0 6 4	105
0 4 10	92
3 5 1	91
0 2 22	91
3 3 1	90
4 2 0	86
3 1 1	84
1 3 1	83
3 7 3	83
2 0 10	82
0 6 12	81
1 1 17	80
0 0 22	80
5 3 1	79
1 5 5	79
2 6 10	79
2 0 2	77
6 4 4	76
2 6 0	75
3 3 11	75
5 3 3	74
4 4 8	73
3 1 11	73
2 2 2	72
3 1 5	72
7 3 3	71
4 6 4	71
6 2 8	71
4 0 12	71
4 0 14	71
3 5 11	70
0 0 2	69
5 5 3	69
0 4 4	69
0 0 14	68
5 1 3	67
4 4 4	67
3 5 5	67
2 2 8	67
3 1 3	66
2 0 4	66
2 2 14	66
0 4 18	66
7 1 3	65
3 3 3	65
4 0 4	65
7 1 5	65
0 4 8	65
2 4 12	65
4 0 6	64
5 3 11	64
2 6 2	63
1 7 3	63
2 6 4	63
3 3 5	63
5 5 5	63
1 5 11	63
4 4 12	62
1 5 3	61
3 5 3	61
1 1 5	61
0 0 6	61
1 1 11	61
2 2 12	61
0 4 12	61
0 6 18	61
0 2 0	60
1 1 1	60
0 2 4	60
5 1 5	60
5 3 5	60
4 0 8	60
5 1 11	60
2 0 0	59
2 2 0	59
1 3 3	59
0 0 4	59
6 2 4	59
6 2 2	58
1 3 5	58
0 2 6	58
2 6 6	58
0 0 12	58
6 2 0	57
0 4 2	57
4 4 2	57
7 3 5	57
2 0 6	57
1 3 11	57
4 0 0	56
0 4 0	56
6 2 6	56
4 4 6	56
0 2 2	55
1 7 5	55
2 2 6	55
0 4 6	55
2 6 8	55
1 1 3	54
2 2 4	54
2 4 4	54
4 0 2	52
0 0 8	52
0 0 10	52
0 4 14	50
4 2 4	49
4 4 0	48
0.8302 0 0	0
