HKL value	Reward	Total Reward	Chi Squared Value
0 4 16	0	0	0
6 4 4	-1	-1	22.390784291567932
5 5 7	-1	-2	22.416978578020014
1 5 13	0.5	-1.5	15.186308203141449
4 0 14	-1	-2.5	37.22608571016033
3 1 13	0.5	-2.0	29.837104350986674
4 2 2	0.5	-1.5	25.922343276635175
0 2 0	-1	-2.5	29.001621736306486
1 3 1	0.5	-2.0	27.221884664922964
4 0 12	0.5	-1.5	24.364372225022176
4 0 4	-1	-2.5	24.97519708510923
3 1 7	0.5	-2.0	23.260148657932135
0 0 6	-1	-3.0	49.567662399425
1 5 7	0.5	-2.5	46.04398755175066
2 4 2	0.5	-2.0	43.270521275364004
2 4 4	-1	-3.0	43.71626992074416
0 6 10	0.5	-2.5	41.195230066690854
2 0 6	0.5	-2.0	39.37969869750537
0 4 6	-1	-3.0	50.204635554458626
2 0 0	0.5	-2.5	50.00214419508727
2 0 14	0.5	-2.0	47.52952661460744
3 1 3	0.5	-1.5	46.213315735563036
2 4 10	0.5	-1.0	44.39594639082146
6 2 6	-1	-2.0	47.80202837738986
7 3 1	0.5	-1.5	45.96109633620549
3 7 5	-1	-2.5	46.304147358967455
0 6 6	0.5	-2.0	44.59004502671701
3 3 11	-1	-3.0	48.74916854505532
6 2 2	-1	-4.0	50.24326896611118
3 5 1	0.5	-3.5	48.92375098610178
2 6 8	-1	-4.5	51.24491625601165
6 4 2	0.5	-4.0	49.66324407566871
0 4 2	-1	-5.0	50.98590640488783
5 3 9	0.5	-4.5	49.481880512955435
6 2 0	-1	-5.5	56.32593516980611
7 1 1	0.5	-5.0	54.98720696183873
4 2 8	0.5	-4.5	53.46336215933526
0 6 2	0.5	-4.0	52.09344452917618
2 4 6	0.5	-3.5	50.79267231681075
4 4 2	-1	-4.5	51.75351454651768
0 6 18	0.5	-4.0	50.46045650442789
2 0 4	-1	-5.0	51.08774701374792
1 3 11	-1	-6.0	53.09647961685916
3 5 5	-1	-7.0	53.153815720649895
3 5 7	0.5	-6.5	51.991615152604275
2 2 6	-1	-7.5	58.684517642349185
2 2 8	-1	-8.5	60.014557081507746
1 5 3	0.5	-8.0	59.21213653213351
3 1 1	0.5	-7.5	58.36423670480885
6 4 6	0.5	-7.0	57.201111565332994
1 7 5	0.5	-6.5	56.74589039270739
3 3 7	0.5	-6.0	55.649341196118286
5 3 11	-1	-7.0	55.68341605418896
0 0 14	0.5	-6.5	54.87576123947413
0 2 14	0.5	-6.0	53.8785872374892
1 5 9	0.5	-5.5	52.928070125877724
2 6 4	0.5	-5.0	52.85669403820701
2 0 12	0.5	-4.5	51.95624492523608
4 2 10	0.5	-4.0	51.14945681241255
0 0 2	-1	-5.0	51.522119378157
2 0 2	0.5	-4.5	51.09030032228046
5 1 13	0.5	-4.0	50.310280537488964
4 2 4	0.5	-3.5	50.14566667393157
5 3 1	0.5	-3.0	49.566025487398406
4 6 4	0.5	-2.5	49.00677790087648
0 6 16	0.5	-2.0	48.29580853598076
0 0 22	0.5	-1.5	47.68990146230197
0 4 10	0.5	-1.0	47.31708290022966
0 4 4	-1	-2.0	47.35407892396311
1 3 3	0.5	-1.5	47.00176893901026
1 1 3	0.5	-1.0	46.54525070390968
5 3 3	0.5	-0.5	46.38819344209361
0 4 20	0.5	0.0	45.89543675252587
1 3 5	-1	-1.0	46.479929249618436
3 7 1	0.5	-0.5	45.93902216155113
4 2 6	0.5	0.0	45.425103656298695
5 1 1	0.5	0.5	44.979306147475356
1 5 5	-1	-0.5	45.05230898389319
3 5 3	0.5	0.0	44.91551628684321
3 3 1	0.5	0.5	44.51812755607395
4 2 14	0.5	1.0	43.97520285289778
0 4 8	-1	0.0	44.727599953378665
0 6 8	0.5	0.5	44.19772519565662
6 2 8	-1	-0.5	44.768087630930054
4 0 8	-1	-1.5	45.557070483613366
3 3 9	0.5	-1.0	45.06501060123613
0 0 10	0.5	-0.5	44.77159802315652
1 1 9	0.5	0.0	44.259549681021234
2 0 16	0.5	0.5	43.766925485436154
2 0 10	0.5	1.0	43.41987785964865
4 0 2	-1	0.0	43.91125447282949
3 5 11	-1	-1.0	44.02032271461161
5 1 9	0.5	-0.5	43.60343557133599
4 4 8	-1	-1.5	44.16991843688099
1 5 1	0.5	-1.0	43.82886568398772
3 3 3	0.5	-0.5	43.62689943526465
4 2 0	0.5	0.0	43.30587796041973
4 4 0	-1	-1.0	46.222004566566255
7 1 3	0.5	-0.5	46.04862529819682
0 2 6	0.5	0.0	45.94442947278347
6 0 12	0.5	0.5	45.48546215793586
3 5 9	0.5	1.0	45.11659287411335
2 6 2	-1	0.0	45.487423429931475
1 1 7	0.5	0.5	45.06187228539679
0 0 12	-1	-0.5	45.91910356122048
2 6 6	-1	-1.5	47.09671959501082
0 4 12	-1	-2.5	47.2872306935732
4 4 6	-1	-3.5	48.66996603878286
6 2 4	-1	-4.5	48.676843116127245
6 2 10	0.5	-4.0	48.43346101204052
2 2 4	-1	-5.0	48.44477011859819
0 2 4	-1	-6.0	48.675140229021984
1 7 3	0.5	-5.5	48.485848329706
4 6 2	0.5	-5.0	48.08118227696736
2 4 14	0.5	-4.5	47.66539553959943
3 3 15	0.5	-4.0	47.26327673537223
6 0 6	0.5	-3.5	46.87165289328707
4 6 0	0.5	-3.0	46.47139734994824
0 4 18	0.5	-2.5	46.07952616550095
2 2 16	0.5	-2.0	45.858511875995255
3 1 15	0.5	-1.5	45.50573468381347
4 2 12	0.5	-1.0	45.133918956327385
4 4 4	-1	-2.0	45.180878334024264
0 2 12	0.5	-1.5	44.850632533172835
7 1 5	0.5	-1.0	44.7234389835373
2 6 10	0.5	-0.5	44.542625012889566
4 0 6	-1	-1.5	46.48765538458423
2 4 0	0.5	-1.0	46.23034571400767
5 1 7	0.5	-0.5	45.880221901801406
3 1 5	-1	-1.5	46.194320005630004
0 0 18	0.5	-1.0	45.88432392102726
6 4 0	0.5	-0.5	45.53416081858809
0 2 8	0.5	0.0	45.18920632047747
0 2 20	0.5	0.5	44.85770981834022
0 6 0	0.5	1.0	44.571447959601095
5 3 7	0.5	1.5	44.255180972118964
1 7 7	0.5	2.0	43.94804372148977
6 0 4	0.5	2.5	43.799807276449584
0 0 16	0.5	3.0	43.631890723480076
2 2 10	0.5	3.5	43.47886838938669
1 1 13	0.5	4.0	43.17449398900668
0 6 14	0.5	4.5	42.8865748437088
5 1 5	-1	3.5	42.93512583068689
0 2 18	0.5	4.0	42.644694703447776
1 7 1	0.5	4.5	42.42556886778747
0 6 4	0.5	5.0	42.29616747862124
2 6 0	-1	4.0	43.89388144460177
1 3 15	0.5	4.5	43.61882337611958
